id,jp,en
5400,①：相手が攻撃力１５００以上のモンスターを召喚・反転召喚・特殊召喚した時に発動できる。その攻撃力１５００以上のモンスターを破壊し除外する。,"When your opponent Summons a monster(s) with 1500 or more ATK: Destroy that monster(s) with 1500 or more ATK, and if you do, banish it."
5426,"このカードが相手ライフに戦闘ダメージを与えた時、以下の効果から１つを選択して発動する事ができる。
●相手の手札をランダムに１枚捨てる。
●相手のデッキの上からカードを２枚墓地へ送る。","When this card inflicts battle damage to your opponent: You can activate 1 of these effects;
●Discard 1 random card from their hand.
●Send the top 2 cards of their Deck to the GY."
5452,①：このカードが守備表示モンスターに攻撃するバトルステップに発動できる。ターン終了時まで、このカードの攻撃力は４００ダウンし、このカードが守備表示モンスターを攻撃した場合、その守備力を攻撃力が超えた分だけ戦闘ダメージを与える。,"During your Battle Step, if this card attacks a Defense Position monster: You can make this card lose exactly 400 ATK, and if it does, it will inflict piercing battle damage. These effects last until the end of this turn."
5488,①：自分の手札が１枚以下である限り、このカードの攻撃力は４００アップする。②：自分フィールドにこのカード以外のモンスターが存在しない場合、このカードが戦闘で破壊したリバースモンスターの効果は無効化される。,"Gains 400 ATK while you have 1 or less cards in your hand. If you control no other monsters, the effects of Flip monsters destroyed by battle with this card are negated."
5526,①：このカードは戦闘では破壊されない。②：このカードが直接攻撃で相手に戦闘ダメージを与えた場合に発動する。相手の手札をランダムに１枚選んで捨てる。③：フィールドの表側表示のこのカードは効果の対象になった場合に破壊される。,"Cannot be destroyed by battle. After resolving a card effect that targets this face-up card, destroy this card. If this card inflicts battle damage to your opponent by a direct attack: Discard 1 random card from their hand."
5655,"①：このカードが召喚した場合に発動する。このカードに魔力カウンターを１つ置く（最大１つまで）。
②：このカードの攻撃力は、このカードの魔力カウンターの数×３００アップする。
③：このカードの魔力カウンターを１つ取り除き、フィールドの魔法・罠カード１枚を対象として発動できる。そのカードを破壊する。","If this card is Normal Summoned: Place 1 Spell Counter on it (max. 1). Gains 300 ATK for each Spell Counter on it. You can remove 1 Spell Counter from this card, then target 1 Spell/Trap on the field; destroy that target."
5660,①：手札を１枚捨て、種族を１つ宣言して発動できる。フィールドの宣言した種族のモンスターを全て破壊する。,"Discard 1 card, then declare 1 Monster Type; destroy all monsters on the field with the declared Type."
5719,①：このカードが相手モンスターと戦闘を行ったダメージ計算後に発動できる。その戦闘を行ったそれぞれのモンスターを除外する。,"After damage calculation, when this card battles an opponent's monster: You can banish that monster, also banish this card."
5799,①：相手モンスターの攻撃宣言時、攻撃モンスター１体を対象として発動できる。その攻撃モンスターを破壊する。,When an opponent's monster declares an attack: Target the attacking monster; destroy that target.
5835,"このカードは通常召喚できない。
自分の墓地から光・闇属性モンスターを１体ずつ除外した場合に特殊召喚できる。
このカードの①②の効果は１ターンに１度、いずれか１つしか使用できない。
①：フィールドのモンスター１体を対象として発動できる（この効果を発動するターン、このカードは攻撃できない）。そのモンスターを除外する。
②：このカードの攻撃で相手モンスターを破壊した時に発動できる。このカードはもう１度だけ続けて攻撃できる。","Cannot be Normal Summoned/Set. Must first be Special Summoned (from your hand) by banishing 1 LIGHT and 1 DARK monster from your GY. Once per turn, you can activate 1 of these effects.
●Target 1 monster on the field; banish it. This card cannot attack the turn this effect is activated.
●If this attacking card destroys an opponent's monster by battle: It can make a second attack in a row."
